OBJECTID,7,7_30,8,9,8_30,9_30,10,10_30,11_30,11,12,12_30,13,13_30,14,14_30,15,15_30,16,16_30
1863,129,116,104,150,127,112,130,117,113,125,109,104,110,107,103,81,68,50,43,36
1864,107,96.2,86.3,124.4,105.4,92.9,107.8,97.1,93.7,103.7,90.4,86.3,91.3,88.8,85.4,67.2,56.4,41.5,35.7,29.9
1865,43.9,39.5,35.4,51.1,43.3,38.1,44.3,39.9,38.5,42.6,37.1,35.4,37.5,36.4,35.1,27.6,23.2,17,14.6,12.3
1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,14.9,13.4,12,17.3,14.7,12.9,15,13.5,13,14.4,12.6,12,12.7,12.3,11.9,9.3,7.8,5.8,5,4.2
2409,60.4,54.3,48.7,70.3,59.5,52.5,60.9,54.8,52.9,58.5,51,48.7,51.5,50.1,48.2,37.9,31.8,23.4,20.1,16.9
2410,337.1,303.1,271.7,391.9,331.8,292.6,339.7,305.7,295.2,326.6,284.8,271.7,287.4,279.6,269.1,211.6,177.7,130.6,112.4,94.1
2411,453.1,407.4,365.3,526.8,446,393.3,456.6,410.9,396.9,439,382.8,365.3,386.3,375.8,361.7,284.5,238.8,175.6,151,126.4
2412,329.4,296.2,265.6,383,324.3,286,332,298.8,288.5,319.2,278.3,265.6,280.9,273.2,263,206.8,173.6,127.7,109.8,91.9
2413,633.4,569.5,510.6,736.5,623.5,549.9,638.3,574.4,554.8,613.7,535.2,510.6,540.1,525.3,505.7,397.7,333.9,245.5,211.1,176.8
2414,387,348,312,450,381,336,390,351,339,375,327,312,330,321,309,243,204,150,129,108
2455,355.3,319.5,286.5,413.2,349.8,308.5,358.1,322.3,311.3,344.3,300.2,286.5,303,294.7,283.7,223.1,187.3,137.7,118.4,99.2
2456,239.3,215.2,192.9,278.2,235.6,207.7,241.1,217,209.6,231.8,202.2,192.9,204,198.5,191,150.2,126.1,92.7,79.8,66.8
2457,258,232,208,300,254,224,260,234,226,250,218,208,220,214,206,162,136,100,86,72
2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2466,8.6,9.8,6.4,9,10.1,7.8,5.3,9,5.6,7,6.2,4.5,5,5.9,5,5,4,5.3,3.2,3.4
2467,2.2,2.4,1.6,2.2,2.5,2,1.3,2.2,1.4,1.8,1.6,1.1,1.2,1.5,1.2,1.2,1,1.3,0.8,0.8
2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,6,6.8,4.4,6.2,7,5.4,3.7,6.2,3.9,4.9,4.3,3.1,3.4,4.1,3.4,3.4,2.8,3.7,2.2,2.3
2473,10.4,11.7,7.7,10.7,12.1,9.4,6.3,10.7,6.7,8.4,7.5,5.4,5.9,7.1,5.9,5.9,4.8,6.3,3.8,4
2474,86,94.6,64.4,90.6,98.3,77.6,56.9,87.8,58.2,71.8,63.5,47.8,52.4,60.5,51.8,50,40.5,50.1,31.4,32.2
2475,263.9,277.5,201.4,284.9,291.6,236,196.8,262.1,191.4,228.8,201.6,162.6,176.4,193.7,171.6,156.3,127.9,141.3,94.4,92.8
2476,362.2,364.9,280.8,399.7,387.6,321.1,297.4,350.6,278.4,324.7,285.1,243,261.4,275.8,250.9,218.2,180,178.5,127,119.8
2477,131.8,136.6,101.2,143.4,144,117.5,101.8,129.7,97.6,115.7,101.8,83.8,90.6,98.1,87.7,78.6,64.5,68.6,46.8,45.4
2478,306.6,305.5,238.7,340.2,325.4,271.2,257.6,294.9,239.1,277.1,243.2,209.9,225.3,235.6,215.7,185.5,153.3,147.8,107,99.8
2479,353.2,325.7,282.5,406.3,354.1,308.1,342.1,324.9,301.5,336.9,294.2,274.7,291.5,288,274.2,219.9,184,144.7,119,102.4
2480,535.9,492.5,429,617.4,536,467.1,521.8,492,459,512.2,447.2,418.8,444.2,437.9,417.6,334,279.5,218,180.3,154.6
2481,483,449.6,385.1,553.4,487.6,422,460.6,446.7,408.1,457.9,400,370.4,393.5,391.1,370.9,299.7,250.4,202,163.5,142.1
2482,376.5,358.4,297.9,427,386.4,330.3,345.3,352.7,310.2,351.6,307.6,278.8,297.1,299.9,281.3,231.8,193,165.2,128.7,114.5
2483,344,329.6,271.6,388.9,354.7,302.1,311.8,323.4,281.3,319.8,279.9,252,268.8,272.6,254.9,211.3,175.7,153,117.9,105.7
2484,340.8,325.7,269.3,385.8,350.7,299.2,310.4,319.9,279.5,317.4,277.7,250.8,267.4,270.7,253.4,209.5,174.3,150.7,116.7,104.3
